"window" "event_1" "event_0" "Error" "Sens" "Spec"
"1" 0.05 7969 1628 0.169097222222222 0.969320637654865 0.135727877124712
"2" 0.15 2742 433 0.138195173137461 0.979290748002201 0.103989915127175
"3" 0.25 1549 342 0.190140845070423 0.966724850679397 0.142672645541757
"4" 0.35 1146 191 0.146766169154229 0.97459624441746 0.151158128209274
"5" 0.45 877 160 0.165384615384615 0.963443713452951 0.160795356214135
"6" 0.55 729 109 0.126587301587302 0.982207722555094 0.139848705953545
"7" 0.65 575 129 0.184905660377359 0.946403911872981 0.223531699142256
"8" 0.75 540 66 0.117032967032967 0.977345347940546 0.102459434385131
"9" 0.85 472 60 0.12125 0.976939947233927 0.0904090495847462
"10" 0.95 424 44 0.119148936170213 0.979285797461018 0.0752988922841864
"11" 1.05 391 31 0.0716535433070866 0.989827981963331 0.0285714285714286
