"expansion" "size" "ovl_croc" "ovl_no_event" "Error" "Sens" "Spec" "class_error_0" "class_error_1"
"1" 0 0.1 0.5 0 0.1217871210463 0.426105660348453 0.967552712902143 0.0417596794638745 0.573745724954053
"2" 0 0.1 0.5 0.2 0.110562893523634 0.342887733656133 0.975989156573899 0.0288304194301585 0.634604536611585
"3" 0 0.1 0.5 0 0.162318062112534 0.523831979303074 0.936449406527883 0.0719070471496954 0.431704650927797
"4" 0 0.1 0.5 0.2 0.151714184479458 0.465792721963045 0.94552136021893 0.0536543476581252 0.485025394506265
"5" 0 0.1 0.5 0 0.223228819605807 0.692919359095698 0.851219430996232 0.14995916601972 0.124723472188305
"6" 0 0.1 0.5 0.2 0.211391080387734 0.663716107345055 0.87785682836369 0.128088970626749 0.151377377388901
"7" 0.2 0.1 0.5 0 0.149388790202277 0.468560956718972 0.949199067579298 0.0580168376013119 0.523965692994524
"8" 0.2 0.1 0.5 0.2 0.136395062677443 0.407749485017406 0.95892769573274 0.042623903478828 0.583605794278439
"9" 0.2 0.1 0.5 0 0.186410708295923 0.576443616670937 0.910172581761603 0.0988270873369362 0.391678581134703
"10" 0.2 0.1 0.5 0.2 0.171340660288137 0.524838570103461 0.92920248242769 0.0755947438423877 0.43659703034895
"11" 0.2 0.1 0.5 0 0.227477770722173 0.743907810327248 0.805993495823034 0.192238900095243 0.107187419318709
"12" 0.2 0.1 0.5 0.2 0.222085801785784 0.711208489161378 0.840003489766955 0.162937066168702 0.127790432540418
"13" 0 0.15 0.5 0 0.0956526187754636 0.292186352068567 0.981140034650948 0.0208442730023199 0.659740072197956
"14" 0 0.15 0.5 0.2 0.0815683214026401 0.244553631248964 0.986715723440617 0.0147838791521566 0.689457100708385
"15" 0 0.15 0.5 0 0.127606029736949 0.383796466266266 0.967632808366838 0.0328772050491967 0.505784276163177
"16" 0 0.15 0.5 0.2 0.109053596150926 0.34995241355641 0.976481734867014 0.0237368096863767 0.547615020490593
"17" 0 0.15 0.5 0 0.197421919642151 0.5684644458227 0.931833021026417 0.0755635456513626 0.170699374285665
"18" 0 0.15 0.5 0.2 0.185636850274748 0.538445995181456 0.936726655720954 0.0597342882296997 0.188132741722788
"19" 0.2 0.15 0.5 0 0.124648269752664 0.373273479546921 0.971971886395405 0.0348031754042647 0.597729602476077
"20" 0.2 0.15 0.5 0.2 0.101742440171235 0.37641034453549 0.980124110927911 0.0248287614416646 0.624250171247781
"21" 0.2 0.15 0.5 0 0.151700513237422 0.495513543851238 0.954565272541524 0.056901499112093 0.439744537219253
"22" 0.2 0.15 0.5 0.2 0.133933543516252 0.481419920130549 0.959375422370301 0.0445167959505089 0.493721758217903
"23" 0.2 0.15 0.5 0 0.212462161466262 0.685051468123141 0.873245634481757 0.133277967514919 0.132347238318076
"24" 0.2 0.15 0.5 0.2 0.202043484765815 0.658063654937159 0.89297614674963 0.104551573287743 0.155372736657745
"25" 0 0.2 0.5 0 0.0647761987185182 0.0995995026497055 0.994111893980564 0.00745022083548346 0.84589008207213
"26" 0 0.2 0.5 0.2 0.0493936610329182 0.131694270908267 0.997223112799333 0.00409809507243801 0.866544595094413
"27" 0 0.2 0.5 0 0.0818141315418021 0.226018329510097 0.991251029028881 0.0117106190296815 0.666764439558532
"28" 0 0.2 0.5 0.2 0.0677743324250631 0.186590206944045 0.995893502705577 0.00631381016150838 0.689711336586879
"29" 0 0.2 0.5 0 0.149625931215472 0.431020121364041 0.970905506959111 0.030044153012296 0.225486037473825
"30" 0 0.2 0.5 0.2 0.128269380159196 0.380949836759367 0.986370214366912 0.0227416474406653 0.252908590835282
"31" 0.2 0.2 0.5 0 0.0944223002208107 0.29763634030643 0.980430144514304 0.0177815456998343 0.621933014099933
"32" 0.2 0.2 0.5 0.2 0.0724686333726277 0.292376951998261 0.991246949362659 0.0100828040988275 0.687076370987278
"33" 0.2 0.2 0.5 0 0.115658353197216 0.443937292037418 0.969581167283957 0.0305822910808411 0.511309811498663
"34" 0.2 0.2 0.5 0.2 0.0995913118638903 0.383545414511403 0.982495650450991 0.021314730640072 0.581195908791301
"35" 0.2 0.2 0.5 0 0.191405283170546 0.59275734302395 0.926735074026833 0.0668995149389407 0.147545096878315
"36" 0.2 0.2 0.5 0.2 0.175402974995647 0.541434273594934 0.949305969421746 0.0548534041343186 0.192525109931674
