filename;nb_bk;nb_bit
prune_A_1;0;4
prune_A_2;0;3
prune_A_3;0;3
prune_B_2;0;4
prune_C_1;0;3
prune_C_2;0;2
lucky_C_1;1;0
lucky_C_2;1;5
lucky_C_3;1;7
lucky_C_4;1;0
moon_C_1;1;2
moon_C_2;2;4
moon_C_3;1;9
moon_C_4;1;11
moon_C_5;3;9
moon_C_6;2;7
notchi_A_1;1;9
notchi_A_2;0;14
notchi_A_3;2;6
notchi_B_1;1;1
notchi_B_2;2;9
notchi_B_3;2;5
notchi_B_4;0;10
notchi_B_5;0;6
cathy_A_1;2;4
cathy_A_2;2;6
cathy_A_3;1;4
cathy_A_4;5;4
cathy_C_1;1;6
cathy_C_2;1;4
cathy_C_3;1;2
cathy_C_4;1;3
filou_A_1;1;7
filou_A_2;1;2
filou_A_3;2;3
filou_A_4;1;3
filou_A_5;2;6
filou_B_1;1;4
filou_B_2;2;4
filou_B_3;1;3
filou_B_4;1;3
filou_B_5;2;0
filou_B_6;1;3
filou_C_1;1;3
filou_C_2;3;2
filou_C_3;1;2
filou_C_4;1;1
filou_C_5;1;4
